ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm7880074;Tom Ferrari;;;/name/nm7880074?ref_=tt_cl_t_14
nm8642986;Quansae Rutledge;;;/name/nm8642986?ref_=tt_cl_t_15
nm2636310;Manuel Garcia-Rulfo;25/02/1981;Guadalajara, Jalisco, Mexico;/name/nm2636310?ref_=tt_cl_t_6
nm0000243;Denzel Washington;28/12/1954;Mount Vernon, New York, USA;/name/nm0000243?ref_=tt_cl_t_1
nm0039327;Mark Ashworth;;;/name/nm0039327?ref_=tt_cl_t_15
nm0692670;Matthew Posey;31/07/1958;Dallas, Texas, USA;/name/nm0692670?ref_=tt_cl_t_18
nm0496932;Lee Byung-hun;12/07/1970;Seoul, South Korea;/name/nm0496932?ref_=tt_cl_t_5
nm0093589;Matt Bomer;11/10/1977;Webster Groves, Missouri, USA;/name/nm0093589?ref_=tt_cl_t_11
nm1551999;Billy Slaughter;03/06/1980;New Orleans, Louisiana, USA;/name/nm1551999?ref_=tt_cl_t_16
nm1556504;Emil Beheshti;15/07/1971;Forest Hills, Queens, New York, USA;/name/nm1556504?ref_=tt_cl_t_14
nm2936232;Martin Sensmeier;;;/name/nm2936232?ref_=tt_cl_t_7
nm2093766;Luke Grimes;21/01/1984;Dayton, Ohio, USA;/name/nm2093766?ref_=tt_cl_t_10
nm0430885;Jonathan Joss;1965-0-0;San Antonio, Texas, USA;/name/nm0430885?ref_=tt_cl_t_12
nm1544217;Cam Gigandet;16/08/1982;Tacoma, Washington, USA;/name/nm1544217?ref_=tt_cl_t_13
nm2247245;Haley Bennett;07/01/1988;Fort Myers, Florida, USA;/name/nm2247245?ref_=tt_cl_t_8
nm6021414;Dodge Prince;;;/name/nm6021414?ref_=tt_cl_t_17
nm0765597;Peter Sarsgaard;07/03/1971;Belleville, Illinois, USA;/name/nm0765597?ref_=tt_cl_t_9
nm0115389;Marcei A. Brown;1963-0-0;;/name/nm0115389?ref_=tt_cl_t_16
nm0627612;Samantha Newark;27/06/1967;London, England, UK;/name/nm0627612?ref_=tt_cl_t_14
nm2874427;Aubrey Peeples;27/11/1993;Lake Mary, Florida, USA;/name/nm2874427?ref_=tt_cl_t_1
nm1783380;Jason Kennedy;11/12/1981;Fort Lauderdale, Florida, USA;/name/nm1783380?ref_=tt_cl_t_8
nm0125070;Mischke Butler;;;/name/nm0125070?ref_=tt_cl_t_13
nm0000208;Molly Ringwald;18/02/1968;Roseville, California, USA;/name/nm0000208?ref_=tt_cl_t_5
nm2640887;Stefanie Scott;06/12/1996;Chicago, Illinois, USA;/name/nm2640887?ref_=tt_cl_t_2
nm6038328;Isabella Kai;13/09/2006;California, USA;/name/nm6038328?ref_=tt_cl_t_6
nm5125858;Justin Alastair;;;/name/nm5125858?ref_=tt_cl_t_12
nm0865626;Jackie Tohn;25/08/1980;Oceanside, New York, USA;/name/nm0865626?ref_=tt_cl_t_17
nm1790066;Ken Baker;18/04/1970;;/name/nm1790066?ref_=tt_cl_t_18
nm3072243;Hayley Kiyoko;03/04/1991;Los Angeles, California, USA;/name/nm3072243?ref_=tt_cl_t_4
nm4554428;Ryan Guzman;21/09/1987;Abilene, Texas, USA;/name/nm4554428?ref_=tt_cl_t_11
nm0139276;Barnaby Carpenter;;;/name/nm0139276?ref_=tt_cl_t_7
nm2878801;Christopher Scott;;;/name/nm2878801?ref_=tt_cl_t_15
nm1994245;Nathan Moore;;;/name/nm1994245?ref_=tt_cl_t_9
nm0000496;Juliette Lewis;21/06/1973;Los Angeles, California, USA;/name/nm0000496?ref_=tt_cl_t_10
nm0000101;Dan Aykroyd;01/07/1952;Ottawa, Ontario, Canada;/name/nm0000101?ref_=tt_cl_t_3
nm0048982;Tom Baker;20/01/1934;Liverpool, England, UK;/name/nm0048982?ref_=tt_cl_t_6
nm0089141;Brian Bloom;30/06/1970;Long Island, New York, USA;/name/nm0089141?ref_=tt_cl_t_10
nm0089707;Steve Blum;29/04/1960;Santa Monica, California, USA;/name/nm0089707?ref_=tt_cl_t_12
nm0134922;Peter Capaldi;14/04/1958;Glasgow, Scotland, UK;/name/nm0134922?ref_=tt_cl_t_14
nm0144657;Dan Castellaneta;29/10/1957;Chicago, Illinois, USA;/name/nm0144657?ref_=tt_cl_t_16
